proto,src_ip,src_pt,dst_ip,dst_pt,ce,hae,lat,le,lon
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.384705","32.8790941","0.5","-114.206059"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.665665","32.879581","0.5","-114.202972"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.563675","32.8807129","0.5","-114.211171"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.034973","32.8777874","0.5","-114.205814"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.4366","32.8791061","0.5","-114.206044"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0","181.076215","32.8778582","0","-114.20245"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.541916","32.8806993","0.5","-114.211186"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.580048","32.8795829","0.5","-114.202946"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.058426","32.8778052","0.5","-114.205811"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.496353","32.8791185","0.5","-114.206028"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.522263","32.8806863","0.5","-114.211201"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.484573","32.8795894","0.5","-114.202928"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.074585","32.8778236","0.5","-114.205808"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.55423","32.8791309","0.5","-114.206012"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.49379","32.8806734","0.5","-114.211216"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.539871","32.8795921","0.5","-114.202912"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.590942","32.879143","0.5","-114.205996"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.093674","32.877842","0.5","-114.205804"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.465225","32.88066","0.5","-114.211232"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.471741","32.879596","0.5","-114.202891"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.108521","32.8778603","0.5","-114.2058"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.640717","32.8791547","0.5","-114.20598"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.4207","32.8806476","0.5","-114.211247"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.408005","32.8796024","0.5","-114.20287"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.127716","32.8778781","0.5","-114.205796"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.678177","32.8791668","0.5","-114.205964"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.371597","32.8806349","0.5","-114.211264"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.555542","32.8796042","0.5","-114.202854"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.158005","32.8778958","0.5","-114.205792"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.681519","32.8791791","0.5","-114.205948"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.325485","32.8806227","0.5","-114.21128"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.597427","32.8796073","0.5","-114.202837"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.187302","32.8779137","0.5","-114.205787"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.689987","32.879192","0.5","-114.205932"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.279068","32.8806107","0.5","-114.211296"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.356461","32.8796139","0.5","-114.202816"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.237244","32.8779312","0.5","-114.205782"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.680374","32.8792048","0.5","-114.205917"
tcp,10.60.11.11,41633,239.2.3.1,6969,"0.5","181.243805","32.8805986","0.5","-114.211313"
tcp,10.60.11.11,56922,239.2.3.1,6969,"0.5","183.507904","32.8796169","0.5","-114.202801"
tcp,10.60.11.11,59564,239.2.3.1,6969,"0.5","181.269623","32.8779496","0.5","-114.205777"
tcp,10.60.11.11,48048,239.2.3.1,6969,"0.5","182.674484","32.8792176","0.5","-114.205902"
